,RMSE,R2
Random Forest,0.7222335152678447,0.474009894063783
XGBoost,0.7179284683378094,0.4802617869933181
Standard DNN,0.2518339612053054,0.9360484768769898
PIML (Ours),0.25320622609299137,0.9353496233078715
