sample_id,temperature_kelvin,log_conductivity,pred_baseline_dnn
1148,1123.15,-1.2790905217107138,-1.3002756
235,1023.15,-1.958607314841775,-1.5655128
1073,923.15,-1.8441248921911384,-1.8218312
615,823.15,-2.5019356055688453,-2.6087494
801,773.15,-3.1903398716127294,-2.9883332
865,1073.15,-1.498181185968119,-1.6315461
1079,923.15,-1.830184509552943,-1.821864
312,973.15,-1.958607314841775,-2.2920942
72,1273.15,-0.889410289700751,-0.92833227
556,1073.15,-1.3273820763927817,-1.3133028
932,923.15,-2.400007822415902,-2.345838
1007,973.15,-1.786604024270241,-1.9520106
264,563.15,-7.01,-6.0868874
1351,823.15,-2.7229906762829152,-2.978879
960,1073.15,-1.7159303882899168,-1.6787983
945,1023.15,-1.91228955113937,-1.8866129
338,1073.5591,-1.1504349715368947,-1.1290878
714,973.15,-1.9830765417060228,-1.8880304
834,773.15,-3.776695662576484,-3.7593737
1169,873.15,-2.5036352776550705,-2.557745
641,1023.15,-1.9245325161359188,-2.0188909
278,1473.15,-0.6252516539898961,-0.75052226
50,773.15,-5.276675703442456,-4.322267
1068,923.15,-1.405828520885088,-1.6225024
115,1173.15,-1.4559319556497243,-1.3772916
157,1073.15,-1.2676062401770314,-1.6161907
1153,873.15,-2.48809629433901,-2.365878
852,723.15,-3.54186473556637,-3.5068421
835,1123.15,-1.5129211126320494,-1.325656
794,973.15,-1.4815909628676838,-1.5258754
319,1073.15,-1.6197887582883939,-2.8000202
1024,1073.15,-1.5256041659927293,-1.4077497
457,1273.15,-0.5390608565493433,-0.6473093
293,1273.15,-0.7695510786217261,-1.0907028
269,1273.15,-1.0506099933550872,-1.1102045
982,1073.15,-1.7228493860362033,-1.6907629
986,1023.15,-1.9461535731477473,-1.9234997
218,1173.15,-0.999297012205811,-1.0275677
292,1273.15,-1.1739251972991736,-1.2498314
513,923.15,-2.4301808949969934,-2.4930568
1008,923.15,-2.0733815968109504,-2.2186942
1157,1073.15,-1.7570975461624783,-1.5329665
1276,973.15,-1.8615145221656235,-1.7490548
109,973.15,-2.3010299956639813,-2.440699
1201,873.15,-3.6431469417570153,-3.2793064
1134,1023.15,-1.3166115714056577,-1.2775912
1107,773.15,-3.6135636232359074,-3.261033
1125,1073.15,-1.4746065803037807,-1.3767571
328,673.15,-3.8893588489716184,-3.8302593
1223,973.15,-2.0701539314514292,-1.8559569
467,1273.15,-0.8180114549471714,-0.98518956
203,773.15,-2.5528419686577806,-3.3242278
268,1273.15,-1.1249387366083,-1.103313
973,923.15,-2.3998987443086093,-2.397087
672,923.15,-2.563667230462232,-2.541688
772,1123.15,-1.1636245868247803,-1.0832229
1323,1023.15,-1.967058858980745,-2.3557034
509,1123.15,-1.6149118089258432,-1.6403518
765,873.15,-1.9316441939813944,-2.0502553
56,1273.15,-0.744727494896694,-0.7998675
862,973.15,-1.8832649184525267,-1.8742903
